Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,1,1,ADU,12/5/2024 8:00,2024,2025,Outside Villages,Outside Villages,North,5,-122.2856695,47.71652196,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,12/5/2024 8:00,2024,2025,Outside Villages,Outside Villages,North,5,-122.2856695,47.71652196,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/12/2019 8:00,2019,2022,Lake City,Hub Urban Village,North,5,-122.2923575,47.71646032,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,9/12/2019 8:00,2019,2022,Lake City,Hub Urban Village,North,5,-122.29236,47.71654062,5.30E+14,Townhouse
Construction Permit,1,1,ADU,2/23/2023 8:00,2023,2023,Outside Villages,Outside Villages,Northwest,5,-122.3492449,47.71704512,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,7/17/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3508082,47.71709049,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,7/9/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3506076,47.71709173,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,7/9/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3506076,47.71709173,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,9/12/2019 8:00,2019,2022,Lake City,Hub Urban Village,North,5,-122.2923495,47.71665023,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/24/2021 8:00,2021,2022,Outside Villages,Outside Villages,Northwest,5,-122.3230214,47.71702377,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,5/24/2021 8:00,2021,2022,Outside Villages,Outside Villages,Northwest,5,-122.3230214,47.71702377,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,2/23/2023 8:00,2023,2023,Outside Villages,Outside Villages,Northwest,5,-122.348891,47.71706589,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,12/6/2019 8:00,2019,2020,Outside Villages,Outside Villages,North,5,-122.3076265,47.71697544,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,4/9/2018 8:00,2018,2019,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3473386,47.62991714,5.30E+14,Townhouse
Construction Permit,1,1,SF,9/12/2019 8:00,2019,2022,Lake City,Hub Urban Village,North,5,-122.292356,47.71673885,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,3/30/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.2886514,47.71691281,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,7/25/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3229995,47.7173346,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,7/25/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3232851,47.71734101,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/25/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3232851,47.71734101,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,9/10/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3146583,47.69480576,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,1/29/2019 8:00,2019,2019,Outside Villages,Outside Villages,Northwest,5,-122.3545523,47.71761877,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,6/7/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.36606,47.71774817,5.30E+14,Detached Single-Family
Construction Permit,2,2,ADU,6/7/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.36606,47.71774817,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,7/5/2022 8:00,2022,2023,Wallingford,Residential Urban Village,Lake Union,4,-122.3433296,47.66315028,5.30E+14,Townhouse
Construction Permit,1,1,ADU,6/1/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.3656289,47.7177723,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,5/31/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.3655251,47.7178148,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,6/20/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3145546,47.70380071,5.30E+14,Detached Single-Family
Construction Permit,2,2,ADU,6/20/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3145546,47.70380071,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/28/2022 8:00,2022,2025,Outside Villages,Outside Villages,Northwest,5,-122.3713247,47.7313827,5.30E+14,Detached Single-Family
