Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,1,1,SF,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3168431,47.70108882,5.30E+14,Detached Single-Family
Construction Permit,2,2,ADU,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3168431,47.70108882,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,2/20/2019 8:00,2019,2019,University District Northwest,Urban Center Village,Northeast,4,-122.3167338,47.66844674,5.30E+14,Townhouse
Construction Permit,6,6,MF,7/17/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3587188,47.70316868,5.30E+14,Rowhouse
Construction Permit,2,2,MF,11/29/2022 8:00,2022,2024,Roosevelt,Residential Urban Village,Northeast,4,-122.3166641,47.68030997,5.30E+14,Rowhouse
Construction Permit,1,1,SF,10/15/2018 8:00,2018,2019,Outside Villages,Outside Villages,North,5,-122.3169854,47.69606084,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/1/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3170105,47.70073545,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,4,4,MF,3/23/2022 8:00,2022,2023,Uptown,Urban Center,Magnolia/Queen Anne,7,-122.3455451,47.62866569,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/11/2020 8:00,2020,2022,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3585975,47.63368477,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/11/2020 8:00,2020,2022,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3585975,47.63368477,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,6,6,MF,2/22/2023 8:00,2023,2025,Capitol Hill,Urban Center Village,East,3,-122.3185887,47.62006082,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/22/2025 8:00,2025,2026,Outside Villages,Outside Villages,Southwest,1,-122.3883337,47.51197126,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,1/26/2022 8:00,2022,2023,Uptown,Urban Center,Magnolia/Queen Anne,7,-122.3451714,47.62857885,5.30E+14,Rowhouse
Construction Permit,1,1,DADU,7/8/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833705,47.51161027,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3824934,47.51144675,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,6/27/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833671,47.51154183,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,6/27/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833671,47.51154183,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3828032,47.51144914,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3828032,47.51144914,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/30/2018 8:00,2018,2019,Outside Villages,Outside Villages,Southeast,2,-122.2562365,47.50911616,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,4/20/2021 8:00,2021,2023,Roosevelt,Residential Urban Village,Northeast,4,-122.3161444,47.67979054,5.30E+14,Townhouse
Construction Permit,1,1,DADU,4/1/2020 8:00,2020,2020,Outside Villages,Outside Villages,North,5,-122.3165268,47.70107708,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,8/20/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3164387,47.69835274,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,4/27/2022 8:00,2022,2023,Outside Villages,Outside Villages,Northwest,5,-122.357902,47.70113247,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,3,3,MF,3/30/2021 8:00,2021,2023,Roosevelt,Residential Urban Village,Northeast,4,-122.3162039,47.67964335,5.30E+14,Rowhouse
Construction Permit,1,1,SF,2/7/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3162447,47.69508729,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/27/2021 8:00,2021,2023,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3401733,47.70337945,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,12/27/2021 8:00,2021,2023,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3401733,47.70337945,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,10/5/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3717166,47.70350766,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,10/5/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3717166,47.70350766,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,10/5/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3717166,47.70350766,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,3/3/2020 8:00,2020,2023,Outside Villages,Outside Villages,Northwest,5,-122.3360144,47.70343894,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,5,5,MF,5/9/2023 8:00,2023,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.343118,47.70347185,5.30E+14,Townhouse
Construction Permit,1,1,SF,6/6/2024 8:00,2024,2025,Outside Villages,Outside Villages,East,3,-122.281735,47.62836828,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,2/23/2023 8:00,2023,2025,Outside Villages,Outside Villages,Ballard,5,-122.3744157,47.70594175,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/18/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3604517,47.70603105,5.30E+14,Detached Single-Family
Construction Permit,6,6,MF,3/26/2024 8:00,2024,2025,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3422901,47.70606275,5.30E+14,Townhouse
Construction Permit,1,1,DADU,7/22/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3482028,47.70621373,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,1/2/2025 8:00,2025,2025,Outside Villages,Outside Villages,Northwest,5,-122.3398744,47.70626363,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,3/2/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2837528,47.70585116,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,7/10/2023 8:00,2023,2023,Outside Villages,Outside Villages,Ballard,5,-122.3544213,47.70625337,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,ADU,3/2/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2839925,47.70585495,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,3/2/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2839925,47.70585495,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,2/19/2020 8:00,2020,2020,Outside Villages,Outside Villages,Ballard,5,-122.3584205,47.70644426,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,5/1/2023 8:00,2023,2024,Outside Villages,Outside Villages,Ballard,5,-122.3600211,47.706446,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,3/10/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3054381,47.70624342,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/27/2023 8:00,2023,2024,Outside Villages,Outside Villages,Ballard,5,-122.3597199,47.70644071,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,4/27/2023 8:00,2023,2024,Outside Villages,Outside Villages,Ballard,5,-122.3597199,47.70644071,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,4/3/2024 8:00,2024,2025,South Park,Residential Urban Village,Greater Duwamish,1,-122.3180479,47.5252767,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,2,2,MF,8/29/2018 8:00,2018,2020,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3572671,47.64810433,5.30E+14,Apartment
Construction Permit,1,1,MF,1/22/2020 8:00,2020,2021,Pioneer Square,Urban Center Village,Downtown,1,-122.3338027,47.60148186,5.30E+14,Apartment
Construction Permit,2,2,MF,9/19/2019 8:00,2019,2021,Wallingford,Residential Urban Village,Lake Union,4,-122.3281703,47.66149741,5.30E+14,Townhouse
Construction Permit,1,1,MF,5/6/2019 8:00,2019,2020,First Hill,Urban Center Village,East,7,-122.3284143,47.60821414,5.30E+14,Apartment
Construction Permit,1,1,DADU,12/22/2021 8:00,2021,2025,Outside Villages,Outside Villages,North,5,-122.3125117,47.70137864,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,10/1/2024 8:00,2024,2025,Outside Villages,Outside Villages,Ballard,5,-122.3737974,47.70188453,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,4/28/2021 8:00,2021,2024,Outside Villages,Outside Villages,Lake Union,4,-122.3458736,47.66411579,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,ADU,4/28/2021 8:00,2021,2024,Outside Villages,Outside Villages,Lake Union,4,-122.3458736,47.66411579,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,9/30/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3206637,47.70173691,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,9/30/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3206637,47.70173691,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,6/3/2022 8:00,2022,2024,Outside Villages,Outside Villages,Ballard,5,-122.3693299,47.70195362,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,8/17/2023 8:00,2023,2024,Outside Villages,Outside Villages,Southeast,2,-122.2520765,47.51135466,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/8/2022 8:00,2022,2023,Outside Villages,Outside Villages,Ballard,5,-122.3671056,47.70221744,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,7/8/2022 8:00,2022,2023,Outside Villages,Outside Villages,Ballard,5,-122.3671056,47.70221744,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,5/16/2022 8:00,2022,2023,Outside Villages,Outside Villages,Ballard,5,-122.3704156,47.70237195,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/16/2022 8:00,2022,2023,Outside Villages,Outside Villages,Ballard,5,-122.3704156,47.70237195,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,2/6/2021 8:00,2021,2023,Outside Villages,Outside Villages,Ballard,5,-122.3706421,47.70239579,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,7/3/2019 8:00,2019,2022,Outside Villages,Outside Villages,Southwest,1,-122.3927143,47.51295099,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,7/5/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3927104,47.5128115,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,7/24/2018 8:00,2018,2021,Outside Villages,Outside Villages,Southwest,1,-122.3946991,47.51298692,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/12/2024 8:00,2024,2024,Outside Villages,Outside Villages,Southwest,1,-122.3883498,47.5126694,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3417969,47.70255035,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3416833,47.70255113,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3415638,47.70255116,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/14/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3413811,47.70255176,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,1/12/2024 8:00,2024,2024,Outside Villages,Outside Villages,Southwest,1,-122.3880664,47.51267116,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,6/8/2023 8:00,2023,2023,Outside Villages,Outside Villages,Ballard,5,-122.3732757,47.70269739,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,MIXED,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3199023,47.52575194,5.30E+14,Detached Single-Family
Construction Permit,1,1,MIXED,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3199023,47.52575194,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,6/24/2019 8:00,2019,2022,Outside Villages,Outside Villages,Southwest,1,-122.392651,47.51259487,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,6/15/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3417603,47.70266302,5.30E+14,Townhouse
Construction Permit,2,2,MF,6/15/2022 8:00,2022,2024,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3417603,47.70266302,5.30E+14,Townhouse
Construction Permit,1,1,SF,11/30/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982798,47.70248006,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,11/30/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982798,47.70248006,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,11/30/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982798,47.70248006,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,1/4/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2979784,47.70254582,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,1/4/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2979784,47.70254582,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,1/4/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.2979784,47.70254582,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,11/3/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982683,47.70264141,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,11/3/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982683,47.70264141,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,11/3/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.2982683,47.70264141,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,10/13/2018 8:00,2018,2019,Outside Villages,Outside Villages,Ballard,5,-122.3677092,47.70300311,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,4/13/2021 8:00,2021,2022,Outside Villages,Outside Villages,Northeast,5,-122.2786548,47.70274865,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,10/29/2018 8:00,2018,2019,Outside Villages,Outside Villages,Ballard,5,-122.3663552,47.70319141,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,10/29/2018 8:00,2018,2019,Outside Villages,Outside Villages,Ballard,5,-122.3663552,47.70319141,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,6/18/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southeast,2,-122.2563652,47.5099667,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,6,6,MF,1/22/2019 8:00,2019,2020,Capitol Hill,Urban Center Village,East,3,-122.3195745,47.62440312,5.30E+14,Townhouse
Construction Permit,1,1,DADU,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3199008,47.52594616,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3199008,47.52594616,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,10/14/2021 8:00,2021,2022,Outside Villages,Outside Villages,Ballard,5,-122.3677285,47.70334035,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,10/14/2021 8:00,2021,2022,Outside Villages,Outside Villages,Ballard,5,-122.3677285,47.70334035,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3198004,47.52575028,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,1/19/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3198004,47.52575028,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,114,114,MIXED,9/23/2021 8:00,2021,2024,First Hill,Urban Center Village,East,2,-122.3228809,47.60209426,5.30E+14,Apartment
Construction Permit,3,3,MIXED,3/15/2023 8:00,2023,2024,Eastlake,Residential Urban Village,Northeast,3,-122.3243737,47.64892267,5.30E+14,Rowhouse
Construction Permit,1,1,ADU,7/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.355379,47.63891752,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,160,160,MIXED,6/28/2022 8:00,2022,2025,Outside Villages,Outside Villages,Greater Duwamish,2,-122.3161444,47.5932882,5.30E+14,Apartment
Construction Permit,1,1,SF,12/2/2024 8:00,2024,2025,Outside Villages,Outside Villages,East,3,-122.2916764,47.6278657,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,12/2/2024 8:00,2024,2025,Outside Villages,Outside Villages,East,3,-122.2916764,47.6278657,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,11/21/2023 8:00,2023,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3196825,47.5258621,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,3,3,MF,7/27/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3171637,47.69595501,5.30E+14,Townhouse
Construction Permit,1,1,SF,11/21/2023 8:00,2023,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3196874,47.52578889,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,8/25/2022 8:00,2022,2023,Outside Villages,Outside Villages,Southwest,1,-122.3745077,47.51265452,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,6/5/2018 8:00,2018,2019,Outside Villages,Outside Villages,Northwest,5,-122.3557221,47.70250432,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,10/16/2015 8:00,2015,2016,Outside Villages,Outside Villages,Southwest,1,-122.3748745,47.51259791,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,8/27/2021 8:00,2021,2023,Fremont,Hub Urban Village,Lake Union,4,-122.3454767,47.65052208,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,8/27/2021 8:00,2021,2023,Fremont,Hub Urban Village,Lake Union,4,-122.3455087,47.65043163,5.30E+14,Townhouse
Construction Permit,2,2,ADU,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3169986,47.70095985,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3169986,47.70095985,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,4/16/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3171895,47.7028725,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,6/5/2018 8:00,2018,2019,Outside Villages,Outside Villages,Northwest,5,-122.3557302,47.70255533,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,4/1/2021 8:00,2021,2023,Outside Villages,Outside Villages,Northwest,5,-122.3525249,47.70264565,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,2/21/2019 8:00,2019,2020,Outside Villages,Outside Villages,Northwest,5,-122.3579166,47.70283518,5.30E+14,Detached Single-Family
Construction Permit,3,3,MF,7/27/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3171591,47.69610796,5.30E+14,Townhouse
Construction Permit,1,1,SF,7/11/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3577152,47.70285583,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,2/21/2019 8:00,2019,2020,Outside Villages,Outside Villages,Northwest,5,-122.3580349,47.70274845,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/7/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3577199,47.70277171,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,2/21/2019 8:00,2019,2020,Outside Villages,Outside Villages,Northwest,5,-122.3580413,47.70284534,5.30E+14,Townhouse
Construction Permit,1,1,SF,6/7/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3577211,47.70269097,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/7/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3575667,47.70269179,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,6/7/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3575656,47.70277321,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,3/23/2022 8:00,2022,2023,Uptown,Urban Center,Magnolia/Queen Anne,7,-122.3455462,47.62856159,5.30E+14,Townhouse
Construction Permit,1,1,SF,6/7/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3575657,47.70286503,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/27/2018 8:00,2018,2019,Outside Villages,Outside Villages,East,3,-122.287843,47.62789941,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,11/21/2023 8:00,2023,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3196031,47.52586164,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,13,13,MF,4/27/2018 8:00,2018,2023,Northgate,Urban Center,North,5,-122.3171591,47.70992455,5.30E+14,Townhouse
Construction Permit,1,1,DADU,5/1/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3169958,47.70062376,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,11/21/2023 8:00,2023,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3195986,47.52578616,5.30E+14,Detached Single-Family
Construction Permit,7,7,MF,2/16/2021 8:00,2021,2023,Outside Villages,Outside Villages,Northwest,5,-122.3589749,47.70304947,5.30E+14,Townhouse
Construction Permit,8,8,MF,7/16/2020 8:00,2020,2023,Outside Villages,Outside Villages,Northwest,5,-122.3581528,47.70344921,5.30E+14,Rowhouse
Construction Permit,2,2,MF,11/29/2022 8:00,2022,2024,Roosevelt,Residential Urban Village,Northeast,4,-122.3166753,47.68044636,5.30E+14,Rowhouse
Construction Permit,7,7,MF,4/8/2019 8:00,2019,2020,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.2997484,47.60179168,5.30E+14,Rowhouse
Construction Permit,1,1,DADU,6/24/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3585165,47.72528518,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,12/22/2021 8:00,2021,2023,Outside Villages,Outside Villages,Southeast,2,-122.2555942,47.50902483,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/24/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southeast,2,-122.2620428,47.50892114,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,8/26/2022 8:00,2022,2023,Outside Villages,Outside Villages,Southwest,1,-122.3887683,47.59323515,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,ADU,6/2/2022 8:00,2022,2022,Outside Villages,Outside Villages,Southwest,1,-122.3839902,47.51089679,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,2/15/2021 8:00,2021,2022,Outside Villages,Outside Villages,Southwest,1,-122.3827184,47.51084443,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,2/15/2021 8:00,2021,2022,Outside Villages,Outside Villages,Southwest,1,-122.3827184,47.51084443,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,2/15/2021 8:00,2021,2022,Outside Villages,Outside Villages,Southwest,1,-122.3827184,47.51084443,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,5/24/2022 8:00,2022,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3184472,47.52239921,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,5/24/2022 8:00,2022,2024,South Park,Residential Urban Village,Greater Duwamish,1,-122.3184472,47.52239921,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,5/17/2022 8:00,2022,2023,South Park,Residential Urban Village,Greater Duwamish,1,-122.3184928,47.52594622,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/13/2019 8:00,2019,2021,Outside Villages,Outside Villages,Ballard,5,-122.3649359,47.70406091,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,1/13/2023 8:00,2023,2025,Outside Villages,Outside Villages,Central,3,-122.2985737,47.61200789,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,1/13/2023 8:00,2023,2025,Outside Villages,Outside Villages,Central,3,-122.2985737,47.61200789,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,6,6,MF,10/18/2018 8:00,2018,2020,12th Avenue,Urban Center Village,East,3,-122.3144556,47.61208552,5.30E+14,Townhouse
Construction Permit,2,2,MF,7/14/2021 8:00,2021,2023,Outside Villages,Outside Villages,Central,3,-122.3093691,47.61219583,5.30E+14,Townhouse
Construction Permit,1,1,ADU,6/8/2018 8:00,2018,2019,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3679502,47.62915526,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,9/18/2023 8:00,2023,2024,Ballard,Hub Urban Village,Ballard,6,-122.371374,47.67136471,5.30E+14,Townhouse
Construction Permit,3,3,MF,9/14/2020 8:00,2020,2021,Outside Villages,Outside Villages,Central,3,-122.3085636,47.61203174,5.30E+14,Townhouse
Construction Permit,1,1,SF,1/4/2023 8:00,2023,2025,Outside Villages,Outside Villages,Central,3,-122.2985728,47.61207462,5.30E+14,Detached Single-Family
Construction Permit,6,6,MF,8/23/2023 8:00,2023,2025,Northgate,Urban Center,North,5,-122.331134,47.71051342,5.30E+14,Rowhouse
Construction Permit,1,1,SF,5/13/2025 8:00,2025,2025,Outside Villages,Outside Villages,Ballard,5,-122.3525497,47.7116518,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,8/4/2022 8:00,2022,2023,Outside Villages,Outside Villages,Southwest,1,-122.3794712,47.50174916,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,8/4/2022 8:00,2022,2023,Outside Villages,Outside Villages,Southwest,1,-122.3794712,47.50174916,5.30E+14,"Accessory Dwelling, Detached"
