OBJECTID,GEOID10,TRACT,NAME10,ACRES_TOTAL,GEO_TYPE,Total_Population,White_alone_or_in_combination,Black_or_African_American_alone,American_Indian_and_Alaska_Nati,Asian_alone_or_in_combination,Native_Hawaiian_and_Oth_Pacific,Some_Other_Race_alone_or_combin,Median_Age,Median_Age_Male,Median_Age_Female,Total_Person_of_Color,DIVERSITY_INDEX,POP_UNDER_18,Shape__Area,Shape__Length,Population_Hispanic_or_Latino
56,53033003800,3800,38,154.334054,Tract,2058,1785,57,35,274,10,14,39.3,39.3,39.4,425,36,433,6722791.394,10392.53155,63
57,53033001400,1400,14,525.9640339,Tract,4848,4135,270,131,463,24,132,38.4,36.7,40.2,1116,39,855,22910993.31,30486.95732,313
58,53033000402,402,4.02,444.4942189,Tract,4841,3939,314,97,522,24,199,45,40.6,49.1,1224,43,674,19362168.18,21397.17489,313
59,53033000401,401,4.01,336.9711115,Tract,5551,3844,770,155,855,60,220,40.5,38,43,2148,59,711,14678461.62,15767.29746,406
60,53033007800,7800,78,514.0791526,Tract,5145,4236,650,70,428,17,56,43,42.5,43.5,1247,41,1102,22393287.89,29082.49341,174
61,53033009200,9200,92,77.2948073,Tract,2825,1386,630,131,727,27,94,46.1,45.7,47.1,1624,72,116,3366961.806,12522.06888,205
62,53033008800,8800,88,234.3898948,Tract,3503,2084,1253,52,252,24,87,34.9,34.6,35.2,1702,62,723,10210023.82,13202.52666,207
63,53033008700,8700,87,180.9698729,Tract,3843,2280,1046,122,443,40,235,33.7,35.1,32.7,1969,68,565,7883047.664,11432.38418,474
64,53033008600,8600,86,175.773386,Tract,5055,3084,760,134,1094,87,195,23,25.9,21.6,2353,65,345,7656688.693,11738.20799,401
65,53033008500,8500,85,117.1761309,Tract,4341,2254,1277,139,555,21,226,36.4,36.2,37,2345,69,342,5104192.264,9942.316247,417
66,53033008100,8100,81,206.3403066,Tract,4070,3050,441,122,482,18,101,46.1,45.6,47,1232,49,101,8988183.755,19160.70831,214
67,53033008200,8200,82,90.61166958,Tract,3280,2480,241,65,523,26,105,36.1,34,40.5,1031,50,87,3947044.327,9698.298781,223
68,53033008300,8300,83,58.67272493,Tract,2505,1937,149,47,398,12,51,39.7,39.2,40.5,731,47,50,2555783.898,9121.891026,144
69,53033008400,8400,84,94.54248341,Tract,3760,2896,350,83,574,30,86,31.6,32.6,30.3,1192,51,191,4118270.577,10061.80718,232
70,53033007900,7900,79,172.5889839,Tract,5147,3695,886,129,515,30,246,33.6,34.6,32.5,1871,56,451,7517976.138,11649.17297,434
71,53033007500,7500,75,198.1066228,Tract,6282,5244,399,148,650,49,160,32.3,33.6,30.6,1560,42,257,8629524.488,13220.73614,428
72,53033007700,7700,77,261.5061575,Tract,4476,3178,962,96,422,14,93,35.5,35.3,35.6,1624,55,607,11391208.22,15242.20976,236
73,53033007300,7300,73,228.8203306,Tract,4668,3425,564,140,634,42,118,35.8,37.4,34,1634,55,152,9967413.599,14267.04915,328
74,53033007402,7402,74.02,61.59661722,Tract,4921,3871,453,132,591,38,149,30.6,32,29,1546,51,154,2683148.646,7060.263667,428
75,53033007600,7600,76,141.3079475,Tract,3498,2836,437,54,304,11,56,33.9,34.6,33.5,914,44,412,6155374.195,9906.367673,169
76,53033007401,7401,74.01,64.09274504,Tract,4115,3542,153,80,450,29,106,31.8,33.3,30.3,935,39,79,2791879.974,8333.348665,285
77,53033006300,6300,63,571.208999,Tract,4962,4677,75,45,288,8,27,46.5,45.5,47.4,510,19,898,24881864,26361.53652,136
78,53033006200,6200,62,627.4947195,Tract,3848,3458,137,33,333,6,55,40.9,40.5,41.2,628,29,841,27333669.98,49291.2862,110
